name,tipo,centralidad_grado,centralidad_eigen,centralidad_intermediacion,centralidad_cercania,componente
CoMaFHiD,actor,2,0.0001625973,2347.0973417416,302.1869047619,2
COMDA,actor,2,2.34432240672102E-06,2055.7290297436,267.9321428571,2
ComunaOax,actor,2,0.0012748285,2211.2608044822,308.9920634921,2
CONACOCI,actor,1,0.0013981703,0,338.3321428571,2
CONOC,actor,2,2.51472428148496E-06,232.0542249262,246.9761904762,2
CONORP,actor,1,0.000009655,0,256.4753968254,2
ConsejoWixarika,actor,1,3.23859728720572E-06,0,250.7571428571,2
CONSUCC,actor,2,1.64362965440167E-05,26.518976658,275.6111111111,2
CooperativasTosepan,actor,2,8.78813019854206E-05,1263.8052815294,314.4115079365,2
CoordUnivApoyoAyotz,actor,1,0.0003517034,0,313.8416666667,2
COR,actor,1,0.0002888155,0,312.0833333333,2
CORSOPAL-Mex,actor,1,1.13791763866873E-07,0,208.0547619048,2
CP,actor,1,0.0004829884,0,311.7706349206,2
CPSCDF,actor,3,0.000954036,13263.9050233888,309.1785714286,2
CROC,actor,2,5.61500644613464E-18,28,6.5,3
CROM,actor,4,0.0009877728,237.91877299,325.2130952381,2
CSDH_MnsrRomero,actor,1,9.95156337433085E-06,0,253.0583333333,2
CSIM,actor,1,0.0012578507,0,303.078968254,2
CT,actor,1,0.0002888155,0,312.0833333333,2
CTC,actor,1,2.14149365716337E-18,0,4.3333333333,3
CTM,actor,1,2.05993366421833E-18,0,4.3333333333,3
CUL,actor,4,0.0004170588,12744,307.3654761905,2
CUTM,actor,1,0.0006113914,0,306.5261904762,2
DDESER,actor,1,5.69259039485441E-07,0,220.080952381,2
DiálogoParlamOax,actor,1,0.000009232,0,239.9650793651,2
D-III-198-INBAL,actor,1,3.13587963644024E-06,0,210.6518759019,2
D-III-20_Bibl,actor,1,3.1358796364393E-06,0,210.6518759019,2
D-III-239-CENART,actor,1,3.13587963643984E-06,0,210.6518759019,2
D-III-24_INAH,actor,1,3.1358796364384E-06,0,210.6518759019,2
Diócesis_SnCristóbal,actor,5,0.0009252218,1.1111111111,304.0869047619,2
DMBMT,actor,1,0.002109817,0,287.669047619,2
EDUCA,actor,1,0.000009232,0,239.9650793651,2
ElCampoEsDeTodos,actor,3,3.82184078885329E-05,325.4688387281,300.2083333333,2
EPC,actor,2,0.0000021,3527.6814457967,258.6837301587,2
EslabonesPorLaPaz,actor,1,0.0001729354,0,322.6821428571,2
EvoluciónMexicana,actor,1,2.09149795114508E-18,0,2.5,9
FAC,actor,17,0.0001828837,4305.1420398119,334.5452380952,2
FACMEO,actor,2,0.0006722372,1.3333333333,281.2333333333,2
FALP,actor,1,0.0012655966,0,307.3253968254,2
FAM,actor,1,2.04064048692172E-18,0,4.6666666667,10
FAO-MSX,actor,1,2.55455436632021E-07,0,238.3008297258,2
FASU,actor,5,0.0087216492,3884.1709813155,376.4142857143,2
FAT,actor,2,0.000095306,2731.763411763,301.9214285714,2
FCSxM,actor,8,0.0047838006,3435.0553110327,348.5345238095,2
FDAN,actor,1,2.57541435745876E-05,0,246.1178571429,2
FDC,actor,20,0.0002567642,12863.3568006291,351.8583333333,2
FDEASER,actor,1,0.0001647304,0,301.4063492063,2
FDL,actor,1,2.62008208848964E-06,0,233.0277777778,2
FDOMEZ-FNLS,actor,1,7.02354551115609E-06,0,218.0099206349,2
FDPAS,actor,1,6.88836060767746E-07,0,234.6884920635,2
FECSM,actor,23,0.0074952005,4093.2994969988,354.8416666667,2
FeministasCom,actor,1,0.0001665215,0,304.5607142857,2
FENR-Cd.Juarez,actor,1,0.0009314433,0,283.9563492063,2
FICAM,actor,15,0.000944941,19978.6870052888,379.6880952381,2
FIOAC,actor,4,7.92176882653054E-05,366.3840009584,310.8833333333,2
FNF,actor,1,2.30514986452747E-18,0,2.5,11
FNLS,actor,3,0.00025591,9567,307.4952380952,2
FO,actor,1,2.88293030821093E-06,0,235.5706349206,2
FOCTEO,actor,1,0.0003540449,0,292.3003968254,2
FODEG,actor,2,0.0006758348,5.7304183303,290.1972222222,2
FPDT,actor,7,0.0009601473,16302.7352967177,373.8178571429,2
FPDTA-MPT,actor,1,0.0001089154,0,272.2218253968,2
FPFV,actor,10,0.0026678806,41281.19643607,388.7130952381,2
FPFVI,actor,3,0.0001768782,9717.4095006737,329.319047619,2
FPLZ,actor,6,0.0001574555,9557.2250380492,325.2642857143,2
FPR,actor,6,0.00360354,4337.5447974185,361.9023809524,2
FP RO,actor,2,0.00000429,765.3646704764,257.6349206349,2
Frayba,actor,1,0.0001709846,0,307.7773809524,2
FSM,actor,5,0.0042672816,2646.8759679792,370.9654761905,2
FSPLI,actor,1,1.27073807278074E-06,0,224.1329365079,2
FSSP,actor,1,5.29315266707308E-07,0,227.6536796537,2
FteCívicoTeotihuacán,actor,1,0.000003681,0,237.4055555556,2
FteContraGpoMex,actor,1,2.3599980750694E-18,0,2.5,12
FUERSA,actor,1,0.0003516082,0,308.6456349206,2
FUL-APPO,actor,4,0.0020960447,1069.7258833566,342.7988095238,2
Fundar,actor,2,0.000011396,4657.1632915636,287.519047619,2
FUNDEM,actor,1,5.74795928960885E-07,0,220.2904761905,2
FUNPEG,actor,19,0.0111351524,3221.8846542817,364.9988095238,2
FUSION,actor,1,0.0012480048,0,304.3182539683,2
GEA,actor,1,4.99789399819599E-07,0,213.4659451659,2
GPM,actor,1,4.99789399820174E-07,0,213.4659451659,2
¡HastaEncontrarlos!,actor,6,0.0007820162,8542.9246880156,337.4845238095,2
HelechoVerde,actor,1,0.0001665215,0,304.5607142857,2
HIJOS-Mex,actor,1,2.36790367198797E-06,0,230.8873015873,2
IPLP,actor,1,9.09080908173244E-06,0,256.9753968254,2
IVC,actor,1,1.11405636136124E-05,0,280.8976190476,2
JudíosPalestina,actor,1,3.37358555405889E-05,0,283.2293650794,2
LasAbejas,actor,1,1.54395596989696E-18,0,2.5,13
LIMEDDH,actor,1,0.0003405213,0,299.7932539683,2
LunasLesbianas,actor,1,0.0001665215,0,304.5607142857,2
LUS,actor,1,2.27895207055634E-05,0,265.9932539683,2
MAES,actor,2,0.0003359352,2537.3152307073,284.0638888889,2
MAIZ,actor,17,0.0001451581,13420.2981710338,303.455952381,2
MAO-LN,actor,1,1.98969715335877E-18,0,2,14
MAR,actor,3,0.000004225,8,221.5746031746,2
MAS,actor,1,8.05489402211746E-05,0,288.5115079365,2
MBMH,actor,2,0.0020892948,6384,303.5214285714,2
MBMT,actor,2,0.0018961944,34.343512874,300.9547619048,2
MC_Justicia5Jun,actor,1,2.88293030821169E-06,0,235.5706349206,2
MDM-Edomex,actor,1,7.72698805022077E-05,0,265.8555555556,2
MDM-Zac,actor,1,1.18298594464562E-05,0,262.4797619048,2
MENA,actor,3,0.0003904576,6157.7605541921,303.8964285714,2
METAB,actor,1,2.30771005237273E-18,0,3,7
MIOCUP-CNPA-MN,actor,3,0.000080426,5526.8342619384,310.5071428571,2
M_LosSinTecho,actor,1,2.57320773813153E-18,0,2,15
MMB,actor,3,0.0006778526,1075.7750318258,337.9785714286,2
MMCRE,actor,2,0.0022757227,705.957357164,316.5035714286,2
MMM,actor,8,2.10557986726517E-17,114.5,16,6
MMPV,actor,2,0.002744162,61.9326341229,303.694047619,2
MMSC,actor,1,9.09080908173098E-06,0,256.9753968254,2
MMSP,actor,2,3.38496473044563E-05,6384,284.646031746,2
MMT,actor,1,0.0009369331,0,299.0583333333,2
MOCRI-CNPA-MN,actor,1,2.14594322945585E-18,0,2,14
MODEVITE,actor,5,0.0009252218,1.1111111111,304.0869047619,2
MORENA,actor,1,8.05489402211726E-05,0,288.5115079365,2
MORESI,actor,1,0.0021160199,0,295.0373015873,2
MovContraEspSilver,actor,1,2.55455436631382E-07,0,238.3008297258,2
MovidasxEncontrarlas,actor,1,5.69632632220083E-07,0,220.6119047619,2
MovLosDeAbajo-Pue,actor,2,0.0001519883,990.3390775714,296.2428571429,2
MovMexDespierta,actor,1,3.09444791194583E-18,0,3,7
MovMujeresIzq,actor,1,0.0001604884,0,303.9845238095,2
MovPuebMorelos,actor,1,2.55455436630652E-07,0,238.3008297258,2
MPG,actor,35,0.0221358548,29373.8243061076,417.319047619,2
MPJD,actor,2,0.0003150456,2506.1580143564,287.6416666667,2
MRM_Renovación,actor,1,2.75101728511058E-18,0,2.8333333333,5
MRM_Resistencia,actor,1,3.21517056061324E-06,0,216.9335497836,2
MSC,actor,1,2.18914405878097E-05,0,206.7146103896,2
MST,actor,6,3.6755288280599E-05,149.8864595948,291.6988095238,2
MujeresEnAcción,actor,1,4.22780807120171E-18,0,5.0833333333,3
MujeresParaElDiálogo,actor,1,9.09080908173133E-06,0,256.9753968254,2
MULT,actor,5,0.0014621791,14734.1124838871,349.7988095238,2
MUP,actor,2,0.0007718798,101.8922561671,322.4142857143,2
NCT,actor,2,0.0006606022,255.7618172981,315.4027777778,2
NHRC,actor,2,0.0001675147,2752.2686021537,307.5511904762,2
NPZ,actor,1,0.0003524108,0,302.1452380952,2
OAN,actor,6,0.0002958548,1815.1231599781,339.6904761905,2
OCEZ-CP,actor,2,1.72347830306365E-06,3,220.830952381,2
OCEZ-DI,actor,1,2.65837457290344E-18,0,3.5,16
OCNF,actor,3,0.0001683094,12706.8996227926,309.0773809524,2
OCPIHV,actor,1,0.0002686838,0,326.3035714286,2
OE,actor,1,9.09080908173157E-06,0,256.9753968254,2
OFPC,actor,1,2.2789520705564E-05,0,265.9932539683,2
OIIA,actor,1,3.82663993428919E-07,0,223.2400793651,2
OIT,actor,1,3.82663993429203E-07,0,223.2400793651,2
ONPP,actor,1,1.89110198368665E-18,0,3.5,16
OPIZ,actor,1,0.0003540449,0,292.3003968254,2
OPT,actor,1,0.0001647304,0,301.4063492063,2
Pan&Rosas,actor,1,9.93236081305991E-07,0,239.4912698413,2
PcdeM,actor,1,0.0002105585,0,319.8392857143,2
PPS,actor,1,0.000000609,0,232.8781746032,2
PRODESC,actor,1,1.20696609983211E-05,0,254.1134920635,2
ProductoresUnidos,actor,3,3.01491079532569E-05,0.5,279.694047619,2
ProSL_Ecológico,actor,2,0.000023045,3779.9522977969,281.0373015873,2
PUDEE,actor,1,2.34402884209584E-18,0,2.5,13
REDDH,actor,1,9.95156337433094E-06,0,253.0583333333,2
RedesUniv,actor,1,1.27073807277903E-06,0,224.1329365079,2
RedGrovida,actor,1,2.22399142950314E-18,0,2.5,11
REDIM,actor,2,1.22947347484322E-06,1798.4175571967,234.4091269841,2
RedMadrHijosDesap,actor,1,2.70383010895308E-18,0,2.5,8
RedMesaMujCdJua,actor,1,1.10830637871785E-06,0,219.7976190476,2
Rednes,actor,1,0.0001665215,0,304.5607142857,2
RED_OSC,actor,1,1.55148403715849E-05,0,278.7476190476,2
RedSaludAlimentaria,actor,1,1.11552066999233E-08,0,197.0712842713,2
Red_TDT,actor,1,1.21831826814248E-06,0,227.1515873016,2
REMA,actor,1,3.82663993428715E-07,0,223.2400793651,2
ResISSSTE,actor,3,0.0010507671,903.2153230103,302.8583333333,2
Resissstencia,actor,1,2.90766691768785E-05,0,265.8027777778,2
ResistenciaCivilEE,actor,2,0.000076451,306.3457086938,301.4003968254,2
RITA,actor,1,7.33236176424613E-06,0,275.2011904762,2
RL,actor,1,5.69259039486331E-07,0,220.080952381,2
RNG,actor,1,0.0003517034,0,313.8416666667,2
RosasRojas,actor,1,0.0001665215,0,304.5607142857,2
RRAA,actor,1,3.33383704622448E-06,0,250.4452380952,2
SAINAH,actor,1,0.000003681,0,237.4055555556,2
SDITSTC,actor,2,0.0033810124,323.4548363383,350.3773809524,2
SEDEPAC-Cuetzalan,actor,1,7.33236176424643E-06,0,275.2011904762,2
SEHI,actor,1,7.25075598279349E-19,0,2,15
SEI,actor,1,0.0003478645,0,306.7753968254,2
SemillasDeVida,actor,1,4.99789399821604E-07,0,213.4659451659,2
SERAPAZ,actor,1,0.0001905065,0,311.8023809524,2
SETE_BC,actor,3,0.0009272107,1783.5071837368,285.7063492063,2
SHCBDF,actor,1,0.0002888155,0,312.0833333333,2
Sind_7_de_Mayo,actor,2,1.43295836381616E-05,4.5,211.5395021645,2
SindHeliodoroCC,actor,1,3.32216958502969E-06,0,210.9828643579,2
SindHnosFM,actor,1,3.32216958503014E-06,0,210.9828643579,2
Sind_Martires1910,actor,1,7.16479181908055E-06,0,210.3728354978,2
SinMaízNoHayPaís,actor,1,2.87320612248589E-06,0,235.3206349206,2
SITACH,actor,1,4.38320356142393E-06,0,219.5673160173,2
SITAUAEM,actor,1,2.29964498778084E-18,0,2,17
SITBUAP,actor,1,1.6542501732682E-06,0,233.4563492063,2
SITCBEM,actor,3,0.0010988981,11.2474747475,284.4841269841,2
SITEM,actor,2,7.6457444958171E-05,251.8954676236,246.0527777778,2
SITEQROO,actor,1,2.82266812613962E-05,0,242.4884920635,2
SITET,actor,3,0.0009626464,5253.5050875543,287.373015873,2
SITIAVW,actor,1,0.0001647304,0,301.4063492063,2
SITIMTA,actor,1,4.9210722166117E-05,0,273.2035714286,2
SITUAM,actor,2,0.0001526416,194.3854205972,305.2134920635,2
SME,actor,32,0.0098964146,130770.068217349,453.205952381,2
SMSEM,actor,6,0.0087731658,1522.1853954332,348.3158730159,2
SNTCPFISC,actor,1,0.0001169114,0,293.1674603175,2
SNTE,actor,1,4.82307636967743E-05,0,221.8240981241,2
SNTE-1,actor,1,0.0009109963,0,282.5396825397,2
SNTE-10,actor,2,0.0009234228,11151,289.3115079365,2
SNTE-13,actor,4,0.0096233759,287.3500680513,363.178968254,2
SNTE-15,actor,2,0.0044568227,1533.1444015046,365.455952381,2
SNTE-16,actor,2,0.0083201362,87.074673276,352.6821428571,2
SNTE-17,actor,3,0.0032859698,379.2425282001,320.8861111111,2
SNTE-2,actor,5,0.0009596323,8669.2715992504,304.5083333333,2
SNTE-20,actor,2,0.0010730487,6384,326.7595238095,2
SNTE-21,actor,6,0.0079858706,4582.9328018102,352.0365079365,2
SNTE-24,actor,2,0.0029705759,1962.779009634,333.6464285714,2
SNTE-25,actor,2,0.0029799114,1821.98697686,324.4067460317,2
SNTE-27,actor,4,9.24013227648106E-05,2,266.0527777778,2
SNTE-28,actor,2,0.002986332,63.2777176318,310.0202380952,2
SNTE-29,actor,2,0.0009144157,1573.669759941,284.1396825397,2
SNTE-3,actor,1,2.18914405878096E-05,0,206.7146103896,2
SNTE-31,actor,4,0.0153389721,2319.6666067122,366.028968254,2
SNTE-33,actor,3,0.003461835,1329.547343586,329.0186507937,2
SNTE-35,actor,3,0.0009205812,7373.4842964666,286.773015873,2
SNTE-37,actor,5,0.000962728,5999.8196200404,304.2583333333,2
SNTE-38,actor,2,9.55269114815945E-06,13.2212377002,211.9161976912,2
SNTE-4,actor,1,0.0067102404,0,333.2813492063,2
SNTE-42,actor,14,0.0079452318,16039.6937762783,335.0920634921,2
SNTE-44,actor,1,0.0009110285,0,283.223015873,2
SNTE-45,actor,2,0.0018803729,0.3333333333,282.9563492063,2
SNTE-49,actor,1,0.0010694415,0,325.3428571429,2
SNTE-5,actor,2,9.55269114815962E-06,13.2212377002,211.9161976912,2
SNTE-50,actor,5,0.0050341859,1589.7915677849,325.2626984127,2
SNTE-54,actor,2,0.002986332,63.2777176318,310.0202380952,2
SNTE-55,actor,3,0.0021241465,11155.5,290.2523809524,2
SNTE-56,actor,1,0.0067102404,0,333.2813492063,2
SNTE-57,actor,3,0.003461835,1329.547343586,329.0186507937,2
SNTE-58,actor,1,0.00012852,0,301.6547619048,2
SNTE-6,actor,1,0.002366475,0,298.780952381,2
SNTE-8,actor,12,0.0023017573,3666.1821399395,293.3396825397,2
SNTI,actor,1,0.0002888155,0,312.0833333333,2
SNTINBAL,actor,2,0.0005461525,121.2316681342,323.3797619048,2
SNTISSSTE,actor,1,5.45224193282473E-05,0,274.0869047619,2
SNTMMSSRM,actor,5,0.0035662239,12176.7858232731,380.7892857143,2
SNTMMSSRM-150,actor,1,1.71427591191791E-18,0,2,18
SNTMMSSRM-234,actor,1,1.56707001917656E-18,0,2,18
SNTMMSSRM-65,actor,1,9.99657241672469E-19,0,2.5,12
SNTSA,actor,2,0.0088462196,1444.084470242,333.7476190476,2
SNTSLATSSC_Indep,actor,1,2.57541435745882E-05,0,246.1178571429,2
SNTSS,actor,2,0.0001714338,570.5018170549,307.0214285714,2
SNTSS-29,actor,1,1.04665086525675E-05,0,240.998015873,2
SNTSTC,actor,1,0.0002888155,0,312.0833333333,2
SNTTTASS,actor,4,0.000395225,4241.4544176273,324.5349206349,2
SolidaridadxFam,actor,1,5.69632632218502E-07,0,220.6119047619,2
SPAUAZ,actor,2,0.0001394923,1597.4084765943,303.3214285714,2
SPUM,actor,1,0.0012578507,0,303.078968254,2
Stacobach,actor,1,0.0002597832,0,294.2496031746,2
STAENEQ,actor,1,1.88911940054121E-05,0,267.1325396825,2
STASPE,actor,8,0.0037708557,359.3083215105,312.3456349206,2
STAUAEM,actor,1,1.42142173557716E-18,0,2,17
STAUAG,actor,3,0.0027130712,2841.7702544036,337.3107142857,2
STAUS,actor,1,3.44816705913957E-18,0,3,19
STEUS,actor,1,2.11662437099599E-18,0,3,19
STINCA,actor,1,0.000009655,0,256.4753968254,2
STRM,actor,19,0.0233935491,86651.8639433896,458.7726190476,2
STTAISUAG,actor,2,0.0002755741,426.9458763383,286.2436507937,2
STUACH,actor,3,0.0004366954,2633.8032534593,339.3904761905,2
STUAdeG,actor,1,3.57302213842028E-05,0,286.4003968254,2
STUAZ,actor,1,1.0972322886012E-05,0,241.498015873,2
STUHM,actor,1,2.7380636207613E-18,0,2,20
STUIA,actor,1,3.57302213842028E-05,0,286.4003968254,2
STUNAM,actor,17,0.0209140248,33630.8655643614,434.225,2
SUEUM,actor,9,0.0050834198,1241.2588929221,334.105952381,2
SUSPEG,actor,30,0.0217568257,12037.3038361016,399.1095238095,2
SUSPEG-14,actor,3,0.0012994888,8005.5000451658,309.4408730159,2
SUSPEG-15,actor,1,0.0010993406,0,306.3908730159,2
SUSPEG-18,actor,1,0.0010993406,0,306.3908730159,2
SUTCECyTEM,actor,1,0.0003531023,0,281.9007936508,2
SUTCOBACH-Gro,actor,7,0.0096328201,3925.0052920627,400.669047619,2
SUTCONALEP,actor,1,0.0031212293,0,347.4607142857,2
SUTIEMS,actor,3,0.0002379331,426.9717244161,314.75,2
SUTIN,actor,3,0.0034470664,682.1036693671,357.5678571429,2
SUTIZEA,actor,1,1.09723228860137E-05,0,241.498015873,2
SUTPEEPEMOR,actor,1,2.58985674963003E-18,0,4.6666666667,10
SUTSEM,actor,1,3.60724904979485E-06,0,229.5412698413,2
SUTSPJ,actor,3,3.45455890725805E-18,16,7,10
SUTSPLEM,actor,3,7.32036508635408E-18,16,7,10
SUTUC,actor,1,3.57302213842023E-05,0,286.4003968254,2
Tetela,actor,2,0.000007715,3588.5008137571,277.8345238095,2
TierraLesbik,actor,1,0.0001665215,0,304.5607142857,2
TrabDesechosSolRFM,actor,1,0.000199157,0,294.6107142857,2
TRADOC,actor,1,2.01587102557815E-18,0,2,20
UACOL,actor,2,0.0005149873,668.7422069964,325.2892857143,2
UARS,actor,1,7.15865904923879E-07,0,236.3218253968,2
UCD,actor,22,0.0003830292,10909.1068451857,353.3571428571,2
UCEN,actor,1,0.0001848712,0,328.1404761905,2
UCEZ,actor,1,0.0001631249,0,300.6702380952,2
UCIZONI,actor,5,0.0011089925,5545.9699725372,308.6511904762,2
UFCW,actor,1,9.16250523346666E-05,0,294.2007936508,2
UFIC,actor,5,0.000035069,1326.2621260423,301.5083333333,2
UGOCM-JL,actor,2,1.13058334972268E-05,0.1,263.4722222222,2
UGOCP,actor,3,3.19511369156048E-05,97.5479228755,283.430952381,2
UJM,actor,1,0.0001169114,0,293.1674603175,2
ULPCA-CNC,actor,5,1.28291974171199E-07,2.5,204.4494227994,2
UNIMOSS,actor,6,0.0003382729,1846.6240377168,344.7535714286,2
UnionMat&Chof_Istmo,actor,1,3.32216958502998E-06,0,210.9828643579,2
UniónPobTierra&Lib,actor,1,0.0031212293,0,347.4607142857,2
UNITONA,actor,2,0.0001049681,7646.7087922492,291.105952381,2
UNORCA,actor,3,2.30626361360607E-05,205.0081840315,284.380952381,2
UnSaltoVida,actor,1,3.23859728720509E-06,0,250.7571428571,2
UNT,actor,16,0.0137893939,40900.0881908232,426.6345238095,2
UNTA,actor,19,0.0003965111,21349.682291391,357.5515873016,2
UNTyPP,actor,1,3.37358555405882E-05,0,283.2293650794,2
