Nombre,Estado,Ubicación,Sitio web
EL FARO DE LA COSTA CHICA,Guerrero,Marquelia,www.elfarodelacostachica.co...
EL SOL DE HIDALGO,Hidalgo,Pachuca de Soto,www.elsoldehidalgo.com.mx
SÍNTESIS,Hidalgo,Pachuca de Soto,www.sintesis.mx
CAPITAL HIDALGO,Hidalgo,Pachuca de Soto,www.capitalhidalgo.com.mx
CRITERIO,Hidalgo,Pachuca de Soto,www.criteriohidalgo.com
PLAZA JUÁREZ,Hidalgo,Pachuca de Soto,www.plazajuarez.mx
CAMBIO 21,Hidalgo,Pachuca de Soto,www.cambio21.com.mx
EL INDEPENDIENTE,Hidalgo,Pachuca de Soto,www.elindependientedehidalg...
CRÓNICA DE HOY HIDALGO,Hidalgo,Pachuca de Soto,www.cronicahidalgo.com
VÍA LIBRE,Hidalgo,Pachuca de Soto,www.diariovialibre.com.mx
ZUNOTICIA,Hidalgo,Huejutla de Reyes,www.zunoticia.com.mx
DIARIO DE LAS HUASTECAS,Hidalgo,Huejutla de Reyes,www.diariodelashuastecas.co...
EL SOL DE TULANCINGO,Hidalgo,Tulancingo,www.elsoldetulancingo.com.m...
LA REGIÓN,Hidalgo,Tula de Allende,www.laregiontula.com
EL INFORMADOR,Jalisco,Guadalajara,www.informador.com.mx
EL OCCIDENTAL,Jalisco,Guadalajara,www.eloccidental.com.mx
LA CRÓNICA JALISCO,Jalisco,Guadalajara,www.cronicajalisco.com
PÁGINA 24 JALISCO,Jalisco,Guadalajara,www.pagina24jalisco.com.mx
EL DIARIO NTR,Jalisco,Guadalajara,www.ntrguadalajara.com
VALLARTA OPINA,Jalisco,Puerto Vallarta,www.vallartaopina.net
SIEMPRE LIBRES,Jalisco,Puerto Vallarta,www.siemprelibres.com
EL FARO,Jalisco,Puerto Vallarta,www.elfaromx.com
EL SOL DE TOLUCA,México,Toluca,www.elsoldetoluca.com.mx
ABC,México,Toluca,abc.miled.com
EL INFORMANTE,México,Toluca,www.elinformante.mx
EDOMEX AL DÍA,México,Toluca,www.edomexaldia.com.mx
AMANECER,México,Toluca,www.diarioamanecer.com.mx
EL VALLE,México,Toluca,www.elvalle.com.mx
IMPULSO,México,Toluca,www.impulsoedomex.com.mx
HERALDO ESTADO DE MÉXICO,México,Toluca,www.hgrupoeditorial.com
8 COLUMNAS,México,Toluca,www.8columnas.com.m
PORTAL,México,Toluca,www.portaldigital.com.mx
TRES PM,México,Toluca,www.trespm.com.mx
NUESTRO MUNDO,México,Toluca,www.diarionuestromundo.com
EL VESPERTINO,México,Toluca,elvespertino.miled.com
EL MAÑANA,México,Toluca,elmananademexico.miled.com
DIARIO IMAGEN,México,Naucalpan,www.diarioimagen.net
ADELANTE,México,Tlalnepantla de Baz,www.adelanteenlanoticia.com
LA VOZ DE MICHOACÁN,Michoacán,Morelia,www.vozdemichoacan.com.mx
PROVINCIA,Michoacán,Morelia,www.provincia.com.mx
CAMBIO DE MICHOACÁN,Michoacán,Morelia,www.cambiodemichoacan.com.m...
VISIÓN DE MICHOACÁN,Michoacán,Morelia,www.eldiariovision.com.mx
EL SOL DE MORELIA,Michoacán,Morelia,www.elsoldemorelia.com.mx
CAPITAL MICHOACÁN,Michoacán,Morelia,www.capitalmichoacan.com.mx
ABC DE MICHOACÁN,Michoacán,Uruapan,www.diarioabc.mx
LA OPINIÓN DE MICHOACÁN,Michoacán,Uruapan,www.laopiniondemichoacan.co...
DIARIO 452,Michoacán,Uruapan,www.diario452.com
EL SOL DE ZAMORA,Michoacán,Zamora,www.elsoldezamora.com.mx
EL INDEPENDIENTE,Michoacán,Zamora,www.el-independiente.com.mx
GENTE DEL BALSAS,Michoacán,Lázaro Cárdenas,www.gentedelbalsas.mx
TIMONEL,Michoacán,Lázaro Cárdenas,www.timonel.mx
EL CLARÍN,Michoacán,Zitácuaro,www.elclarindiario.com
QUADRATIN,Michoacán,Morelia,Quadratin.com.mx
LA UNIÓN DE MORELOS,Morelos,Cuernavaca,www.launion.com.mx
DIARIO DE MORELOS,Morelos,Cuernavaca,www.diariodemorelos.com
LA JORNADA MORELOS,Morelos,Cuernavaca,www.jornadamorelos.com
CAPITAL MORELOS,Morelos,Cuernavaca,www.capitalmorelos.com.mx
EL REGIONAL DEL SUR,Morelos,Cuernavaca,www.elregional.com.mx
EL SOL DE CUERNAVACA,Morelos,Cuernavaca,www.elsoldecuernavaca.com.m...
MORELOS HABLA,Morelos,Cuernavaca,www.moreloshabla.com
LA OPINIÓN DE MORELOS,Morelos,Cuernavaca,www.laopiniondemorelos.com
EL SOL DE CUAUTLA,Morelos,Cuautla,www.elsoldecuautla.com.mx
INTERDIARIO,Morelos,Cuautla,www.interdiario.mx
MERIDIANO,Nayarit,Tepic,www.nnc.mx
REALIDADES,Nayarit,Tepic,www.periodicorealidadesmx.c...
AVANCE,Nayarit,Tepic,www.periodicoavance.com
EXPRESS,Nayarit,Tepic,www.periodicoexpress.com.mx
EL SOL DE NAYARIT,Nayarit,Tepic,www.elsoldenayarit.mx
GENTE Y PODER,Nayarit,Tepic,www.diariogenteypoder.com
CRÍTICA,Nayarit,Tepic,www.diario-critica.mx
EL TIEMPO DE NAYARIT,Nayarit,Tepic,www.eltiempodenayarit.mx
EL IMPARCIAL,Nayarit,Tepic,www.elimparcialdenayarit.co...
MILENIO MONTERREY,Nuevo León,Monterrey,monterrey.milenio.com
ABC DE MONTERREY,Nuevo León,Monterrey,www.periodicoabc.mx
EL PORVENIR,Nuevo León,Monterrey,www.elporvenir.mx
EL HORIZONTE,Nuevo León,Monterrey,www.elhorizonte.mx
PUBLIMETRO MONTERREY,Nuevo León,Monterrey,www.publimetro.com.mx/notic...
EL NORTE,Nuevo León,Monterrey,Elnorte.com
EL IMPARCIAL,Oaxaca,Oaxaca,www.imparcialoaxaca.mx
NOTICIAS,Oaxaca,Oaxaca,www.noticiasnet.mx
TIEMPO,Oaxaca,Oaxaca,www.tiempoenlinea.com.mx
DESPERTAR,Oaxaca,Oaxaca,www.despertardeoaxaca.com
MARCA,Oaxaca,Oaxaca,www.diariomarca.com.mx
ROTATIVO,Oaxaca,Oaxaca,www.rotativooaxaca.com
A DIARIO,Oaxaca,Oaxaca,www.adiariooaxaca.com
ENCUENTRO,Oaxaca,Oaxaca,www.cminoticiasoaxaca.com
CAPITAL OAXACA,Oaxaca,Oaxaca,www.capitaloaxaca.com.mx
EL GRÁFICO,Oaxaca,Oaxaca,www.graficooaxaca.com
DIARIO DE ANTEQUERA,Oaxaca,Oaxaca,www.diariodeantequera.com
EL TUXTEPECANO,Oaxaca,Tuxtepec,www.eltuxtepecano.com
NUEVO HORIZONTE,Oaxaca,Tuxtepec,www.nuevohorizonte.info
EXPRESIÓN DE LA CUENCA,Oaxaca,Tuxtepec,www.expresioncuenca.com
EL SOL DEL ISTMO,Oaxaca,Salina Cruz,www.elsoldelistmo.com.mx
BBM NOTICIAS,Oaxaca,Salina Cruz,www.bbmnoticias.com
PUNTO CRÍTICO,Oaxaca,Juchitán,www.diariopuntocritico.net
EL SUR,Oaxaca,Juchitán,www.elsurdiario.com.mx
EL PIÑERO DE LA CUENCA,Oaxaca,Loma Bonita,www.elpinerodelacuenca.com....
EL SOL DE LA COSTA,Oaxaca,Huatulco,www.elsoldelacosta.com.mx
EL SOL DE PUEBLA,Puebla,Puebla,www.elsoldepuebla.com.mx
SÍNTESIS,Puebla,Puebla,www.sintesis.mx
LA JORNADA DE ORIENTE,Puebla,Puebla,www.lajornadadeoriente.com....
EL POPULAR,Puebla,Puebla,www.elpopular.mx
LA OPINIÓN,Puebla,Puebla,www.laopinionpuebla.com
CAMBIO,Puebla,Puebla,www.diariocambio.com.mx
INTOLERANCIA,Puebla,Puebla,www.intoleranciadiario.com
PUNTUAL,Puebla,Puebla,www.diariopuntual.com
SEXENIO,Puebla,Puebla,www.sexenio.com.mx
CAPITAL PUEBLA,Puebla,Puebla,www.capitalpuebla.com.mx
EL MUNDO DE TEHUACÁN,Puebla,Tehuacán,www.elmundodetehuacan.com
ENLACE,Puebla,Izúcar de Matamoros,www.enlacenoticias.com.mx
EL DIARIO DEL VALLE DE SERDÁN,Puebla,Ciudad Serdán,www.eldiariodel-valle-de-se...
DIARIO DE QUERÉTARO,Querétaro,Querétaro,www.diariodequeretaro.com.m...
CAPITAL QUERÉTARO,Querétaro,Querétaro,www.capitalqueretaro.com.mx
PLAZA DE ARMAS,Querétaro,Querétaro,www.plazadearmas.com.mx
A.M. DE QUERÉTARO,Querétaro,Querétaro,www.amqueretaro.com
EL UNIVERSAL QUERÉTARO,Querétaro,Querétaro,www.eluniversalqueretaro.mx
EXPRESS,Querétaro,Querétaro,www.expressmetropolitano.co...
EL SOL DE SAN JUAN DEL RIO,Querétaro,San Juan del Río,www.elsoldesanjuandelrio.co...
POR ESTO! QUINTANA ROO,Quintana Roo,Cancún,www.poresto.net/quintanaroo...
NOVEDADES DE QUINTANA ROO,Quintana Roo,Cancún,www.novedadesdeqroo.com
EL PERIÓDICO DE QUINTANA ROO,Quintana Roo,Cancún,www.elperiodico.com.mx
LA VERDAD DE QUINTANA ROO,Quintana Roo,Cancún,www.diariolaverdad.com.mx
QUEQUI,Quintana Roo,Cancún,www.quequi.com.mx
ÚLTIMAS NOTICIAS,Quintana Roo,Cancún,www.qrooultimasnoticias.com
DIARIO IMAGEN,Quintana Roo,Cancún,www.diarioimagenqroo.mx
QUINTANA ROO HOY,Quintana Roo,Cancún,www.quintanaroohoy.com
LUCES DEL SIGLO,Quintana Roo,Cancún,www.lucesdelsiglo.com
CAPITAL QUINTANA ROO,Quintana Roo,Cancún,www.capitalquintanaroo.com....
DIARIO DE QUINTANA ROO,Quintana Roo,Chetumal,www.dqr.com.mx
RESPUESTA,Quintana Roo,Playa del Carmen,www.diariorespuesta.com.mx
EL SOL DE SAN LUIS,San Luis Potosí,San Luis Potosí,www.elsoldesanluis.com.mx
LA JORNADA SAN LUIS,San Luis Potosí,San Luis Potosí,www.lajornadasanluis.com.mx
EL HERALDO,San Luis Potosí,San Luis Potosí,www.elheraldoslp.com.mx
PLANO INFORMATIVO,San Luis Potosí,San Luis Potosí,www.planoinformativo.com
MOMENTO,San Luis Potosí,San Luis Potosí,www.momentonoticias.com
LUX CRÓNICA POTOSINA,San Luis Potosí,Ciudad Valles,www.luxcronicapotosina.com
EL IMPARCIAL,San Luis Potosí,Matehuala,www.imparcialenlinea.com.mx
PULSO SLP,San Luis Potosí,San Luis Potosí,Pulsoslp.com.mx
EL DEBATE,Sinaloa,Culiacán,www.debate.com.mx
NOROESTE,Sinaloa,Culiacán,www.noroeste.com
EL SOL DE SINALOA,Sinaloa,Culiacán,www.elsoldesinaloa.com.mx
VIVAVOZ,Sinaloa,Culiacán,www.vivavoz.com.mx
EL SOL DE MAZATLÁN,Sinaloa,Mazatlán,www.elsoldemazatlan.com.mx
EL IMPARCIAL,Sonora,Hermosillo,www.elimparcial.com
ENTORNO INFORMATIVO,Sonora,Hermosillo,www.entornoinformativo.com....
EL SOL DE HERMOSILLO,Sonora,Hermosillo,www.elsoldehermosillo.com.m...
TRIBUNA DEL YAQUI,Sonora,Ciudad Obregón,www.tribuna.com.mx
DIARIO DEL YAQUI,Sonora,Ciudad Obregón,www.diariodelyaqui.mx
EL REGIONAL DE SONORA,Sonora,Ciudad Obregón,www.elregionaldesonora.com....
MEDIOS OBSON,Sonora,Ciudad Obregón,www.mediosobson.mx
DIARIO SONORA DE LA TARDE,Sonora,Ciudad Obregón,www.diariodesonora.com.mx
EL DIARIO DE SONORA,Sonora,H. Nogales,www.eldiariodesonora.com.mx
NUEVO DÍA,Sonora,H. Nogales,www.nuevodia.com.mx
TRIBUNA DE SAN LUIS,Sonora,San Luis Río Colorado,www.tribunadesanluis.com.mx
NOTICIAS,Sonora,San Luis Río Colorado,www.diarionoticias.info
LA VERDAD,Sonora,Navojoa,www.diariolaverdad.mx
EL VIGÍA,Sonora,Guaymas,www.elvigia.com.mx
UNO RADIO NOTICIAS,Sonora,Hermosillo,Uniradionoticias.com
EXPRESO,Sonora,Hermosillo,Expreso.com.mx
TABASCO HOY,Tabasco,Villahermosa,www.tabascohoy.com.mx
PRESENTE,Tabasco,Villahermosa,www.diariopresente.com.mx
NOVEDADES DE TABASCO,Tabasco,Villahermosa,www.novedadesdetabasco.com....
RUMBO NUEVO,Tabasco,Villahermosa,www.rumbonuevo.mx
DIARIO DE LA TARDE,Tabasco,Villahermosa,www.diariodelatarde.com.mx
ABC DE LA TARDE,Tabasco,Villahermosa,www.abcdelatarde.com
EL HERALDO DE TABASCO,Tabasco,Villahermosa,www.elheraldodetabasco.com....
EL CORREO DE TABASCO,Tabasco,Villahermosa,www.elcorreodetabasco.com.m...
LA VERDAD DEL SURESTE,Tabasco,Villahermosa,www.la-verdad.com.mx
DIARIO OLMECA,Tabasco,Villahermosa,www.olmecadiario.info
AVANCE,Tabasco,Villahermosa,www.diarioavancetabasco.com
AHORA TABASCO,Tabasco,Villahermosa,www.ahoratabasco.com
DIARIO DE TABASCO,Tabasco,Villahermosa,www.ddt.mx
EL MAÑANA,Tamaulipas,Reynosa,www.elmanana.com
LA TARDE,Tamaulipas,Reynosa,www.latarde.com.mx
LA PRENSA,Tamaulipas,Reynosa,www.laprensa.mx
VALLE DEL NORTE,Tamaulipas,Reynosa,www.valledelnorte.com.mx
METRÓPOLI,Tamaulipas,Reynosa,www.grupometropoli.net
MULTICOSAS,Tamaulipas,Reynosa,www.multicosas.com.mx
EL BRAVO,Tamaulipas,Matamoros,www.elbravo.mx
EXPRESIÓN,Tamaulipas,Matamoros,www.expresionenred.com
EL IMPARCIAL,Tamaulipas,Matamoros,www.imparcialmatamoros.com....
CONTACTO,Tamaulipas,Matamoros,www.periodicocontacto.com
EL SOL DE TAMPICO,Tamaulipas,Tampico,www.elsoldetampico.com.mx
EL MERCURIO DE TAMAULIPAS,Tamaulipas,Ciudad Victoria,www.elmercurio.com.mx
EXPRESO,Tamaulipas,Ciudad Victoria,www.expreso.press
LA VERDAD DE TAMAULIPAS,Tamaulipas,Ciudad Victoria,www.laverdad.com.mx
EL GRÁFICO,Tamaulipas,Ciudad Victoria,www.elgraficotam.com.mx
CINCO,Tamaulipas,Ciudad Victoria,www.elcinco.mx
ÚLTIMAS NOTICIAS,Tamaulipas,Ciudad Victoria,www.ultimasnoticiasenred.co...
MERIDIANO DE HOY,Tamaulipas,Ciudad Victoria,www.meridianodehoy.mx
EL MAÑANA,Tamaulipas,Nuevo Laredo,www.elmanana.com.mx
EL DIARIO DE NUEVO LAREDO,Tamaulipas,Nuevo Laredo,www.diariolaredo.com
LÍDER INFORMATIVO,Tamaulipas,Nuevo Laredo,www.elquiosco.mx
PRIMERA HORA,Tamaulipas,Nuevo Laredo,www.primerahora.com.mx
ÚLTIMA HORA,Tamaulipas,Nuevo Laredo,www.ultimahora.com.mx
EL ECO,Tamaulipas,Ciudad Mante,www.elecodelmante.com
ASTRO NOTICIAS,Tamaulipas,Ciudad Mante,www.astromante.com
EL BÚHO DE TAMAULIPAS,Tamaulipas,Valle Hermoso,www.elbuhodetamaulipas.com
DEBATE,Tamaulipas,Ciudad Madero,www.diariodebate.info
LA RED,Tamaulipas,Altamira,www.laredmultimedia.com
UNIRADIO INFORMA,Baja California Norte,Tijuana,Uniradioinforma.com
EL SOL DE TLAXCALA,Tlaxcala,Tlaxcala,www.elsoldetlaxcala.com.mx
EL PERIÓDICO DE TLAXCALA,Tlaxcala,Tlaxcala,www.elperiodicodetlaxcala.c...
DIARIO XALAPA,Veracruz,Xalapa,www.diariodexalapa.com.mx
DIARIO AZ,Veracruz,Xalapa,www.azdiario.mx
LA JORNADA VERACRUZ,Veracruz,Xalapa,www.jornadaveracruz.com.mx
EL HERALDO DE XALAPA,Veracruz,Xalapa,www.heraldodexalapa.com.mx
GRÁFICO DE XALAPA,Veracruz,Xalapa,www.graficoaldia.com.mx
LA POLÍTICA,Veracruz,Xalapa,www.lapolitica.com.mx
MUNDO DE XALAPA,Veracruz,Xalapa,www.mundodexalapa.com
MARCHA,Veracruz,Xalapa,www.marcha.com.mx
SEIS EN PUNTO,Veracruz,Xalapa,www.diario6enpunto.com
TIEMPO,Veracruz,Xalapa,www.tiempodeveracruz.com.mx
CRÓNICA DE XALAPA,Veracruz,Xalapa,www.cronicadexalapa.com
CAPITAL VERACRUZ,Veracruz,Xalapa,www.capitalveracruz.com.mx
OYE VERACRUZ,Veracruz,Xalapa,www.oyeveracruz.com.mx
¡YA BASTA!,Veracruz,Xalapa,www.diarioyabasta.com.mx
IMAGEN,Veracruz,Veracruz,www.imagendeveracruz.com.mx
EL DICTAMEN,Veracruz,Veracruz,www.eldictamen.mx
NOTIVER,Veracruz,Veracruz,www.notiver.com.mx
LA TARDE,Veracruz,Veracruz,latarde.eldictamen.mx
EL PUERTO,Veracruz,Veracruz,www.diarioelpuerto.com.mx
LA VOZ DE VERACRUZ,Veracruz,Veracruz,www.lavozdeveracruz.com
EL LIBERAL DEL SUR,Veracruz,Coatzacoalcos,www.liberal.com.mx
