Protestas conjuntas,Nombre,Abreviacion,Seccion,Tipo1,Tipo2,Tipos,Nombre corto,Aparece en RFOSC,Tipo de organización,Forma organizativa,Alcance,Figura jurídica,Precisión del domicilio determinado,Alcance_Estatal,Domicilio,Geolocalización,Sitios web de referencia,lat,lon,Actores adherentes / Aliados,Redes en que participa,Descripción / Historia,Misión / Objetivos
3,Amnistía Internacional,AI,,DD,SI,DD / SI,AI,No,Matriz,Otra,internacional,Asociación Internacional,Sede determinada,Internacional,"Luz Saviñón 519, Benito Juárez, Del Valle Norte, Col del Valle Nte, 03103 Ciudad de México, CDMX","19.3927922,-99.1698491,17z",https://amnistia.org.mx/,19.3927922,-99.1698491,,,"Somos un movimiento mundial, democrático e independiente, con más de 7 millones de socios y socias, activistas y simpatizantes que se toman la injusticia como algo personal. Actuamos en casi todos los países del mundo para que todas las personas puedan disfrutar de sus derechos humanos.","En Amnistía Internacional México nos movemos por la indignación que nos provocan los abusos contra los derechos humanos, pero también por la esperanza en un mundo mejor, trabajamos para proteger los derechos humanos a través de nuestras actividades de campaña y la solidaridad internacional. La membresía y las y los simpatizantes de nuestra organización ejercen influencia sobre gobiernos, grupos políticos, empresas y organizamos intergubernamentales."
1,Anonymous,,,AC,,AC,Anonymous,No,Matriz,Otra,internacional,Informal,Por mayoría en Eps,Internacional,Televisa Chapultepec,"19.4262632,-99.1521863,17z",https://www.youtube.com/watch?v=qlJ-Yb0j3ck ,19.4262632,-99.1521863,,,Ciberactivismo,Término para ciertas subculturas de Internet; enfocado en ataque por DNS
1,Archivo Histórico del Movimiento de Lesbianas Feministas en México 1976-2013 Yan María Yaoyólotl,AHMLFMYMY,,LG,MU,LG / MU,AHMLFMYMY,No,Discreta,Cultural,local,Informal,Por mayoría en Eps,CDMX,Ciudad de México Cuauhtémoc Palacio de Bellas Artes,"19.435205,-99.143394,17z",http://yanmaria-yaoyolotl.blogspot.mx/search/label/Archivo%20Hist%C3%B3rico%20del%20Movimiento%20de%20Lesbianas%20Feministas%20en%20M%C3%A9xico%201976-2013%20Y.M.Y.,19.435205,-99.143394,,,,
3,Asamblea de los Pueblos Indígenas del Istmo de Tehuantepec en Defensa de la Tierra y el Territorio,APIITDTT,,IN,,IN,APIITDTT,No,Paraguas,Indígena,regional,Desconocida,Municipial,Regional,"Juchitán, Oaxaca","16.4401864,-95.0354375,14z",https://tierrayterritorio.wordpress.com/quienes-somos-2/,16.4401864,-95.0354375,Pueblos Binnizá ( asamblea general del pueblo binnizá de álvaro obregón | asamblea de comuneros de santa maría xadani | asamblea de comuneros de unión hidalgo | comité de resistencia de unión hidalgo | movimiento de resistencia de santa maría xadani) pueblos ikoojts (asamblea del pueblo ikoojts de san dionisio del mar | comuneros de san mateo del mar), ,"Somos la Asamblea de los Pueblos Indígenas del Istmo de Tehuantepec en Defensa de la Tierra y el Territorio ( APIITDTT ) la integramos campesinos, campesinas, pescadores y amas de casa indígenas binnizá e ikoots del Istmo de Tehuantepec","luchamos por la defensa de nuestro territorio, el cual los malos gobiernos y empresas transnacionales nos despojan para instalar miles de aerogeneradores para la producción de energía eólica, que beneficiará a empresas multinacionales como Coca-Cola, Bimbo, Cemex, Wal-Mart, Heineken, Cuahutemos-Moctezuma, entre muchas otras. Ondeando la bandera de la energía limpia, han convertido al viento del Istmo en una mercancía más, manejada por empresas como Endesa, Iberdrola, Gas Natural Fenosa, Gamesa, Renovalia, Electrica de Francia, Electrica Nacional Italiana, atropellando los derechos de los pueblos indígenas de la región y criminalizando a quienes nos encontramos en lucha."
1,Asamblea Magisterial Democrática del Estado de Jalisco,AMDJ,,ED,SPB,ED / SPB,AMDJ,No,Discreta,Económico-gremial,local,Desconocida,Por mayoría en Eps,Jalisco,Congreso del estado de jalisco,"20.6775289,-103.3475424,17z",https://amdjal.wordpress.com/ | https://www.facebook.com/AsambleaMagisterialDemocraticaJal/,20.6775289,-103.3475424,,,Este colectivo está conformado por los maestros de Jalisco que buscamos la democracia y la defensa de la educación pública.,Ser un canal oficial de comunicación para el magisterio y lograr coordinar todos los proyectos y acciones encaminadas a la defensa de la educación pública y los derechos laborales de los trabajadores de la educación.
4,Asamblea Nacional de Usuarios de la Energía Eléctrica,ANUEE,,CS,,CS,ANUEE,No,Paraguas,Urbano-gremial,nacional,Desconocida,Por mayoría en Eps,Nacional,Plaza de la constitución,"19.4326068,-99.1353989,17z",https://www.facebook.com/pg/ANUEE.Oficial/about/?ref=page_internal | http://anueeoficial.blogspot.mx/ | https://fronterasurmx.files.wordpress.com/2013/02/documento-para-camara-de-diputados-final.pdf,19.4326068,-99.1353989,"Frente Educativo Popular Revolucionario (Estado de México) | Coordinadora del Movimiento Amplio Popular (CMAP, San Luis Potosí) | Unidad Cívica Felipe Carrillo Puerto (Nacional) | Unión de Pueblos y Organizaciones del Estado de Guerrero UPOEG, (Guerrero) | Consejo Regional de Comisarios de la Costa Chica de Guerrero | Organización Política Proletaria | Frente Popular de Organizaciones Sociales (D. F.) | Organización Nacional del Poder Popular | Radio AMLO | Asamblea de los Pedregales de Coyoacán (D. F.) | Solidaridad y apoyo Social, A. C. | Talles Comunitarios Gratuitos, Nezahualcoyotl | Movimiento Vecinal de Ixtapaluca | Coanacoch, A.C. Los Reyes La Paz | Colectivo Tulpetlac, Ecatepec | Flor y Canto, A.C. | Asociación Independiente Defensora de los Derechos de la Nación (Naucalpan)",,"La Asamblea Nacional de Usuarios de Energía Eléctrica es una organización independiente, formada de manera libre y voluntaria por ciudadanos usuarios de la energía eléctrica. Por tal, manifestamos que no pertenecemos a ningún partido u organización política, ni tenemos compromisos con ningún candidato o funcionario público. Tampoco somos una secta religiosa, mantenemos un estricto respeto por las preferencias políticas y religiosas de todos nuestros miembros y de la sociedad en general.","I).- Unir, organizar y apoyar la justa lucha de los usuarios del servicio de energía eléctrica por sus objetivos y para defenderse de las acciones arbitrarias y los altos cobros de la luz instrumentados por el gobierno federal por intermedios de CFE, en contra de los usuarios del servicio. II).- Obtener una tarifa social justa, lo cual implica que se retiren los subsidios inmorales a los grandes consumidores, esto es, a los grandes capitalistas que son quienes saquean al país, para que quienes tienen más, paguen más. Asimismo demandamos que las tarifas sean fijadas por el Congreso de la Unión y no Hacienda, como sucede hoy. III).- Que se eleve a rango constitucional el acceso de todas las familias mexicanas a la energía eléctrica como un derecho humano irrenunciable, pero sobre todo innegable. Esto significa que se deberá otorgar un consumo básico gratuito a cada hogar Mexicano. IV).- Desaparición inmediata de la llamada tarifa DAC, por ser antieconómica y representar una inmoral exacción de los escasos recursos con que cuenta el pueblo trabajador mexicano. V.- En la zona centro del país, demandamos que los adeudos exigidos por la CFE, desde el 11 de octubre de 2009, hasta el momento en que se cree la nueva empresa que sustituya a Luz y Fuerza del Centro, tal y como lo manda el artículo cuarto transitorio de la Ley del Servicio Público de Energía Eléctrica, se cancelen por carecer de base legal y además porque en la mayoría de los casos son impagables. ¡Borrón y cuenta nueva! VI.- Para el resto de la República planteamos la revisión exhaustiva de los adeudos y la suspensión de los cortes y de cualquier otra medida de apremio, hasta en tanto no se resuelvan las dudas a plena satisfacción del Usuario. VII.- Exigimos la creación de la nueva empresa de energía eléctrica mencionada en el inciso V, con la cual, los usuarios de la zona centro del país firmemos nuevos contratos y que restituya en sus puestos de trabajo a los 16,599 trabajadores del SME en resistencia. VIII.- Impedir la sustitución de los medidores analógicos por digitales, toda vez que estos últimos representan un gigantesco negocio para empresarios allegados al poder. De igual manera nos oponemos al cambio de los cables de cobre por otros de aluminio, pues desde el punto de vista técnico no se justifica el cambio, al contrario, lo correcto sería conservar los cables de cobre, porque es mejor conductor de electricidad y provoca menos perjuicios que el aluminio. IX.- Luchar por la renacionalización de la Industria Eléctrica, toda vez que en la actualidad el 52% de la generación está en manos privadas, particularmente de españoles. Esto, además de poner en riesgo nuestra soberanía nacional, es la causa de los continuos aumentos en los precios de la electricidad, pues las condiciones en que se firmaron los contratos obligan al estado mexicano a pagar el fluido eléctrico al precio fijado por las transnacionales. X.- Defenderemos la existencia de la CFE, como una empresa de servicio público, al servicio del pueblo y no de quienes saquean hoy la patria; pugnaremos por limpiarla de la corrupción que los diferentes gobiernos federales han introducido en ella y no permitiremos que se le quiera llevar a una situación de quiebra ficticia como se hizo con Luz y Fuerza del Centro."
8,Asamblea Nacional Popular,ANP,,AV,,AV,ANP,No,Paraguas,Civil,nacional,Organización eventual,Sede determinada,Nacional,Escuela normal rural “Raúl Isidro Burgos”,"17.5531616,-99.4121801,17z",https://www.facebook.com/MAESTROSUNIDOSVT/posts/1728295844059022 | http://suracapulco.mx/2/se-unira-a-la-asamblea-nacional-popular-la-direccion-colectiva-de-organizaciones/,17.5531616,-99.4121801,,,"Asamblea nacional popular (ANP) realizada el día sábado 9 de enero de 2016 en las instalaciones de la escuela normal rural “Raúl Isidro Burgos” de Ayotzinapa, Guerrero. Con la presencia de medio centenar de organizaciones, colectivos, referentes nacionales y estatales inicia la asamblea con las palabras de bienvenida a cargo de los representantes del comité de familiares de los 43 desaparecidos de Ayotzinapa. ",
1,Asamblea Popular de los Pueblos de Guerrero,APPG,,RP,,RP,APPG,No,Paraguas,Civil,local,Desconocida,Por mayoría en Eps,Guerrero,"Lic. René Juárez Cisneros 23, Zona Sin Asignación Denombre de Col 21, Chilpancingo de los Bravo, Gro.","17.5306932,-99.4985667,17z",http://www.jornada.unam.mx/2006/10/02/index.php?section=politica&article=007n2pol,17.5306932,-99.4985667,"CETEG  (2 fracciones) | Sindicatos Universitarios | Federación Estudiantil Universitaria Guerrerense | Taller de Desarrollo Comunitario | Frente Popular Revolucionario | Frente de Defensa Popular | Organización indígena Calpulli Tecuanichan | Movimiento Social de Izquierda | Frente Nacional de Lucha Socialista | Comunidad Indígena Cuauhtémoc | Coordinadora de Egresados Normalistas del Estado de Guerrero, entre otros grupos.", ,Al menos 30 organizaciones sociales y gremiales constituyeron la Asamblea Popular de los Pueblos de Guerrero (APPG),"la APPG exigirá al gobernador Zeferino Torreblanca Galindo solución a diversas peticiones, entre ellas la destitución del secretario de Educación, José Luis González de la Vega Otero, así como la asignación de 618 plazas para egresados de escuelas normales. También se pide la construcción y remodelación de infraestructura educativa, principalmente en las zonas indígenas de la Montaña. Además, la APPG abanderará demandas sociales y agrarias."
1,Asociación Civil Victoriano Polanco,,,PS,,PS,ACVictorianoPol,No,Discreta,Civil,local,Asociación Civil,Por mayoría en Eps,Baja California Sur,"Palacio de Gobierno, Perla, La Paz, Baja California Sur","24.1483248,-110.3086044,17z",http://www.radarpolitico.com.mx/2014/12/08/igc-compromiso-social-y-esfuerzo-productivo-para-bcs-sergio-polanco/ | http://elinformantebcs.mx/resalta-isaias-gonzalez-labor-altruista-de-sergio-polanco/,24.1483248,-110.3086044,,,,"La asociación civil Victoriano Polanco, emprenderá un trabajo social basado en la promoción de los deportes, las gestiones de mejoras comunitarias, la ayuda directa a quienes lo necesiten por sus condiciones de atraso económico, y convocara al sector empresarial para que se sumen a las acciones de solidaridad social que aplicara en este municipio de La Paz."
1,Asociación de Agricultores del Río Culiacán,AARC,,CA,,CA,AARC,No,Discreta,Económico-gremial,local,Asociación Civil,Sede determinada,Sinaloa,"Sin Asignación En Nombre de Asentamiento, Culiacán, Sinaloa","24.7927817,-107.4192496,17z",http://www.aarc.com.mx/#acerca,24.7927817,-107.4192496,,,"La Asociación de Agricultores del Río Culiacán, es una asociación que nace en 1932, fundada por un grupo de visionarios agricultores con la finalidad de defender y promover los intereses del Sector Agrícola. Cuenta con un padrón de más de mil 400 socios, cuya actividad productiva es un importante generador de desarrollo en la entidad, ya que la derrama económica de sus agremiados, permite generar un importante número de empleos además de ser motor de la economía regional.","La AARC ciclo tras ciclo, se ha estado posicionando en las distintas áreas de influencia de los valles de Culiacán, Navolato, Angostura y Pueblos Unidos, ya que somos la mejor opción en calidad, honestidad, trato amable, eficiecia y compromiso hacia los productores en general.  "
1,"Asociación de Cronistas, Historiadores y Narradores de la Sierra Norte y Altiplano del Estado de Puebla",CHYNAC,,CU,,CU,CHYNAC,No,Discreta,Cultural,local,Asociación Civil,Por mayoría en Eps,Puebla,"Zapotitlán de Méndez, Puebla","20.0027457,-97.7170401,17z",https://sites.google.com/site/chynachueytlalli/,20.0027457,-97.7170401,,,,
1,Asociación de Escritores de México,AEMAC,,CU,,CU,AEMAC,Sí,Discreta,Cultural,local,Asociación Civil,Sede determinada,CDMX,"San Pedro de los Pinos 24 Esquina Cerrada de La Piramide, delegación benito juarez, ciudad de méxico","19.3855779,-99.1904482,19z",http://asociaciondeescritoresmex.org/ | http://www.elem.mx/institucion/datos/273,19.3855779,-99.1904482,,,"La Asociación de Escritores de México A. C. organiza sus trabajos a través de los siguientes programas: Apoyo a la Edición Independiente, Formación, Investigación y reflexión, inter-disciplina, Intercambio y Fondos para el apoyo al desarrollo del arte independiente, dentro de los cuales los asociados proponen diferentes proyectos que al final componen el plan de trabajo anual de la Asociación. También gestiona desde un modelo ciudadano el espacio público del Centro Cultural La Pirámide el cual da salida a propuestas artístico culturales, sobre todo de jóvenes, más no exclusivamente.","Consolidar una agrupación civil de escritores que contribuya al desarrollo de la cultura en México, fortaleciendo con ello las iniciativas civiles en el ámbito de la promoción de la creación artística y cultural. En síntesis impulsar las iniciativas civiles realizadas por los mismos creadores."
4,"Asociación de Jubilados, Trabajadores y Ex trabajadores de la Aviación Mexicana",AJTEAM,,AM,,AM,AJTEAM,No,Discreta,Económico-gremial,local,Asociación Civil,Por mayoría en Eps,CDMX,"Aeropuerto Internacional de la Ciudad de México, Venustiano Carranza, Ciudad de México","19.4360812,-99.0741023,17z",https://www.facebook.com/pg/ajubmex/about/ | http://infoajteam.blogspot.mx/,19.4360812,-99.0741023,,"Sindicato Nacional de Trabajadores de Transporte, Transformación, Aviación, Servicios y Similares (Sntttass) | El Barzón",,Asociación de Jubilados de Mexicana grupo que busca la retribución de sus derechos obtenidos durante su vida laboral y suspendidos por la situación legal.
1,Asociación de Trabajadores del Estado de Michoacán,ATEM,,RP,,RP,ATEM,No,Paraguas,Económico-gremial,local,Desconocida,Por mayoría en Eps,Michoacán,"Palacio de Gobierno del Estado de Michoacán, Morelia, Michoacán","19.7033704,-101.1942382,17z",https://www.facebook.com/pg/Asociaci%C3%B3n-de-Trabajadores-del-Estado-de-Michoac%C3%A1n-588832761135416/about/?ref=page_internal | http://www.monitorexpresso.com/se-adhieren-sindicatos-y-organizaciones-al-atem-llaman-al-gobierno-a-cumplir-compromisos/,19.7033704,-101.1942382,Sindicato de Trabajadores de la Junta de Caminos | Sindicato de Empleados de la Universidad Intercultural Indígena de Michoacán | Asociación de Productores y Comerciantes  del Mercado Emiliano Zapata | Unión de Cooperativas,,Unión en defensa de nuestros derechos laborales,
2,Asociación Mexicana de Uniones de Crédito del Sector Social,AMUCSS,,ONO,,ONO,AMUCSS,Sí,Paraguas,Económico-gremial,local,Asociación Civil,Sede determinada,CDMX,"Hermosillo #14, Col. Roma Sur, Del. Cuauhtemoc, Ciudad de México","19.4017075,-99.1710031,17z",http://www.amucss.org/index.php/acercade/descripcion | http://www.impactinsurance.org/es/node/1756,19.4017075,-99.1710031,Envíos Confianza | Redsol | Sierras Verdes | Redsol Agrícola | Fedrural | IMFR | Innova (Core Bancario) | OIFR | Red confianza | Vivienda | Red Oaxaca,"Foro Latinoamericano y del Caribe para las Finanzas Rurales | Prodesarrollo, Finanzas y Microempresas, Asociación Civil | Consejo Mexicano de Ahorro y Crédito Popular",La Asociación Mexicana de Uniones de Crédito del Sector Social (AMUCSS) es la gestora de una red de empresas sociales que proporciona servicios y productos financieros integrales e innovadores para el desarrollo social y la inclusión de las comunidades rurales indígenas de alta marginación en México.,"Promover la inclusión financiera de México a través de instituciones confiables que ofrezcan productos y servicios integrales para el desarrollo rural, la seguridad alimentaria y el combate a la pobreza."
3,Asociación Nacional de Abogados Democráticos,ANAD,,DD,PF,DD / PF,ANAD,No,Discreta,Civil,nacional,Asociación Civil,Sede determinada,Nacional,"Calle Zacatecas número 31 despacho A, colonia Roma, Delegación Cuauhtémoc","19.4162065,-99.1582308,17z",https://www.facebook.com/pg/Asociaci%C3%B3n-Nacional-de-Abogados-Democr%C3%A1ticos-AC-Oficial-1380894882150112/about/?ref=page_internal | https://anad1991.wordpress.com/,19.4162065,-99.1582308,,,"Asociación Civil sin fines de lucro enfocada en el litigio estratégico, litigio internacional, con la finalidad de la defensa de los derechos humanos.","Durante 23 años de existencia, la ANAD ha representado casos paradigmáticos en situaciones de atención y acompañamiento a víctimas de violaciones a los Derechos Humanos."
7,Asociación Sindical de Pilotos Aviadores de México,ASPA,,SPA,,SPA,ASPA,No,Matriz,Económico-gremial,nacional,Sindical,Sede determinada,Nacional,"General García Conde Palomas 110, Reforma Soc, 11650 Ciudad de México, CDMX","19.4332825,-99.2162113,15z",https://www.aspa.org.mx/,19.4332825,-99.2162113,,ITF | IFALPA | FLAP | FESEBS | UNT | FEDSSA,"ASPA se creó el 4 de agosto de 1958, luego de un intenso movimiento de lucha sindical que buscaba mejorar las condiciones de trabajo de los pilotos mexicanos en las empresas de aviación.","Somos la organización gremial pionera en la profesión y refrendamos a través del tiempo nuestro compromiso con la defensa de los derechos laborales y con la seguridad aérea a través de un modelo sindical democrático y transparente al interior, consciente y abierto al diálogo con las empresas."
4,Asociación Sindical de Sobrecargos de Aviación de México,ASSA,,SPA,,SPA,ASSA,No,Matriz,Económico-gremial,nacional,Sindical,Sede determinada,Nacional,"Calle Patricio Sanz 751, Col del Valle Centro, 03100 Ciudad de México, CDMX","19.3889363,-99.1710201,15z",http://assa.org.mx/,19.3889363,-99.1710201,,,,
2,Barra Libre de Abogados Democráticos de Puebla,BLADP,,DD,PF,DD / PF,BLADP,No,Discreta,Civil,local,Desconocida,Por mayoría en Eps,Puebla,"Casa Aguayo, Barrio del Alto, Puebla","19.0454965,-98.1900911,17z",http://www.lajornadadeoriente.com.mx/2017/07/20/las-630-horas-ayer-media-docena-sujetos-armados-asaltaron-microbus/,19.0454965,-98.1900911,,,,
1,Base Magisterial de Aguascalientes,,,ED,SPB,ED / SPB,BaseMagAgs,No,Paraguas,Económico-gremial,local,Desconocida,Por mayoría en Eps,Aguascalientes,"Palacio municipal de calvillo, aguascalientes","21.8455916,-102.7217243,18z",https://www.facebook.com/BaseMagisterialAguascalientes/ | http://alchileaguascalientes.com/~alchilea/?p=28367 | http://noticieroelcirco.blogspot.mx/2013/09/salio-de-las-aulas-la-pelea-por-el-snte_24.html,21.8455916,-102.7217243,Movimiento Democrático del Magisterio | CNTE-SNTE Sec I | SITEM, ,Movimiento Magisterial de la ciudad de Aguascalientes. Maestro Aguanta!!! Aguascalientes se Levanta!!!,
1,Bloque Urbano Popular,,,VE,,VE,BlqUrbanoPopular,No,Paraguas,Urbano-gremial,local,Desconocida,Sede determinada,CDMX,"Concepción Beistegui 2108, Colonia Narvarte","19.3858569,-99.1495407,17z",http://bloqueurbanopopular.org/ | https://www.facebook.com/pg/BloqueUrbanoPopular/about/?ref=page_internal,19.3858569,-99.1495407,35 organizaciones sociales no especificadas, ,"Grupo de 35 Organizaciones Sociales comprometidas con mejorar la calidad de vida de los habitantes del DF, impulsando programas de vivienda de interés social.",Nuestro principal objetivo es organizarnos como ciudadanos para aprovechar los programas sociales que se tienen en el Distrito Federal y de esta forma adquirir vivienda digna.
1,Brigada del 68,,,DD,,DD,Brigada68,No,Discreta,Civil,local,Informal,Municipial,Puebla,Puebla de Zaragoza,"19.0401962,-98.2631765,12z",http://brigada68.blogspot.mx/ | http://www.lajornadadeoriente.com.mx/2015/10/05/hace-un-llamado-la-brigada-del-68-para-que-cese-la-represion-en-puebla/,19.0401962,-98.2631765,,,"Queremos honrar a esos jóvenes que pretendieron la libertad y el bienestar para los seres oprimidos y olvidados, que llenaron de esperanza al país entero y fueron enemigos del hambre de los niños, la frutración en los jóvenes y el desaliento de hombres y mujeres. Por eso, para seguir luchand.",realizaremos distintas actividades que nos permitan mostrar que el Movimiento del 68 no es historia inerte sino presente vivo.
