Id,C1x2FechaEvento,C4x1Posicion,C4x2DemText,DemandaFormateada,C4x3ClasificacionLAOMS,C4x3x1SubclasificacionLAOMS,Clasificación en tesis,Ayotzinapa,Reforma educativa
C-005,26/10/2012,A favor,frenar abusos en contra de migrantes centroamericanos,[a favor] frenar abusos en contra de migrantes centroamericanos,6. Protección de derechos de grupos vulnerables,5. Migrantes,Migrantes,0,0
C-005,26/10/2012,En contra,atracos a migrantes,[en contra] atracos a migrantes,6. Protección de derechos de grupos vulnerables,5. Migrantes,Migrantes,0,0
C-005,26/10/2012,En contra,cierre de refugios en el Edomex,[en contra] cierre de refugios en el edomex,6. Protección de derechos de grupos vulnerables,5. Migrantes,Migrantes,0,0
C-006,27/10/2012,A favor,Encontrar migrantes centroamericanos desaparecidos,[a favor] encontrar migrantes centroamericanos desaparecidos,4. Justicia,1. Acciones u omisiones de funcionarios públicos - 5. Desapariciones forzadas,Desapariciones forzadas,0,0
C-006,27/10/2012,En contra,Violencia hacia los migrantes centroamericanos que pasan por nuestro país.,[en contra] violencia hacia los migrantes centroamericanos que pasan por nuestro país,6. Protección de derechos de grupos vulnerables,5. Migrantes,Migrantes,0,0
C-007,28/10/2012,A favor,Que el gobierno mexicano las apoye para encontrar a sus familiares desaparecidos en nuestro país.,[a favor] que el gobierno mexicano las apoye para encontrar a sus familiares desaparecidos en nuestro país,4. Justicia,1. Acciones u omisiones de funcionarios públicos - 5. Desapariciones forzadas,Desapariciones forzadas,0,0
C-008,28/10/2012,A favor," que se cancelen las concesiones de minas en diversas comunidades de la SNP y los citados proyectos hidroeléctricos y de ciudades rurales, que se diseñe y ejecute el Programa Regional de la SNP","[a favor] que se cancelen las concesiones de minas en diversas comunidades de la snp y los citados proyectos hidroeléctricos y de ciudades rurales, que se diseñe y ejecute el programa regional de la snp","8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-008,28/10/2012,A favor,"que se aplique el artículo primero de la Constitución con la reforma de 2011 y el artículo 13 de la Constitución poblana, donde las comunidades indígenas son reconocidas como sujetos de derecho","[a favor] que se aplique el artículo primero de la constitución con la reforma de 2011 y el artículo 13 de la constitución poblana, donde las comunidades indígenas son reconocidas como sujetos de derecho",6. Protección de derechos de grupos vulnerables,4. Indígenas,Indígenas,0,0
C-008,28/10/2012,En contra,"proyectos mineros, de construcción de hidroeléctricas y de ciudades rurales que pretenden cancelar el futuro de los habitantes de la Sierra Norte de Puebla","[en contra] proyectos mineros, de construcción de hidroeléctricas y de ciudades rurales que pretenden cancelar el futuro de los habitantes de la sierra norte de puebla","8. Defensa del espacio, los recursos y la cultura","1. Del medio ambiente, recursos naturales, biológicos y biodiversidad",Medio ambiente,0,0
C-008,28/10/2012,A favor,que la Cámara de Diputados del Congreso federal autorice un presupuesto etiquetado para ser administrado por su instancia de representación regional para el ejercicio fiscal 2012,[a favor] que la cámara de diputados del congreso federal autorice un presupuesto etiquetado para ser administrado por su instancia de representación regional para el ejercicio fiscal 2012,2. Bienes y servicios (especie) / efectivo y presupuesto (dinero),6. Rurales,Recursos (rurales),0,0
C-009,30/10/2012,A favor,"Cumplir con la obligación de efectuar una consulta previa, libre e informada a los indígenas dueños de la tierra.","[a favor] cumplir con la obligación de efectuar una consulta previa, libre e informada a los indígenas dueños de la tierra","8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-009,30/10/2012,En contra,"despojo y violación a los derechos de los pueblos por la imposición de parques eólicos sin información suficiente, y sin cumplir con la obligación de efectuar una consulta previa, libre e informada a los indígenas dueños de la tierra. ","[en contra] despojo y violación a los derechos de los pueblos por la imposición de parques eólicos sin información suficiente, y sin cumplir con la obligación de efectuar una consulta previa, libre e informada a los indígenas dueños de la tierra",6. Protección de derechos de grupos vulnerables,4. Indígenas,Indígenas,0,0
C-010,31/10/2012,En contra,empresas mineras de Canadá.,[en contra] empresas mineras de canadá,"8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-010,31/10/2012,A favor,se exija a la Comisión Nacional del Agua castigar la violación a la veda de la cuenca hidrológica del Carmen,[a favor] se exija a la comisión nacional del agua castigar la violación a la veda de la cuenca hidrológica del carmen,"8. Defensa del espacio, los recursos y la cultura","1. Del medio ambiente, recursos naturales, biológicos y biodiversidad",Medio ambiente,0,0
C-010,31/10/2012,A favor,"que se aclare el asesinato de los activistas Ismael Solorio Urrutia y Manuela Martha Solís Contreras, resultado de la lucha que emprendieron en contra de la empresa Mag Silver, instalada en el ejido de Benito Juárez, municipio de Buenaventura, Chihuahua","[a favor] que se aclare el asesinato de los activistas ismael solorio urrutia y manuela martha solís contreras, resultado de la lucha que emprendieron en contra de la empresa mag silver, instalada en el ejido de benito juárez, municipio de buenaventura, chihuahua",4. Justicia,1. Acciones u omisiones de funcionarios públicos – 7. Eficiencia y eficacia de las autoridades de procuración de justicia,Procuración de justicia,0,0
C-011,31/10/2012,En contra," adoptar un compromiso serio para eliminar de la reforma laboral, todos aquellos aspectos que afectarán la estabilidad, salarios y derechos adquiridos. ","[en contra] adoptar un compromiso serio para eliminar de la reforma laboral, todos aquellos aspectos que afectarán la estabilidad, salarios y derechos adquiridos",7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-012,05/11/2012,En contra,intereses de Monsanto en el maíz mexicano,[en contra] intereses de monsanto en el maíz mexicano,"8. Defensa del espacio, los recursos y la cultura","1. Del medio ambiente, recursos naturales, biológicos y biodiversidad",Medio ambiente,0,0
C-012,05/11/2012,En contra,permiso de siembra comercial de maíz transgénico en cerca de un millón de hectáreas de Sinaloa y Tamaulipas,[en contra] permiso de siembra comercial de maíz transgénico en cerca de un millón de hectáreas de sinaloa y tamaulipas,"8. Defensa del espacio, los recursos y la cultura","1. Del medio ambiente, recursos naturales, biológicos y biodiversidad",Medio ambiente,0,0
C-013,06/11/2012,En contra,"construcción del paque eólico San Dionisio del Mar, por considerar que afectará el medio ambiente, su cultura y la pesca. ","[en contra] construcción del paque eólico san dionisio del mar, por considerar que afectará el medio ambiente, su cultura y la pesca","8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-014,08/11/2012,En contra,Reforma Laboral,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-015,09/11/2012,En contra,reforma laboral.,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-016,13/11/2012,En contra,reforma laboral.,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-017,15/11/2012,En contra,"alto número de presos políticos, las desapariciones y los homicidios ocurridos en la administración anterior, que siguen impunes. ","[en contra] alto número de presos políticos, las desapariciones y los homicidios ocurridos en la administración anterior, que siguen impunes",4. Justicia,1. Acciones u omisiones de funcionarios públicos – 9. Liberación de personas detenidas ilegalmente por su actividad política,Presos políticos,0,0
C-017,15/11/2012,A favor,"cárcel para los autores de la represión en el sexenio 2004-2010, que encabezó Ulises Ruiz Ortiz","[a favor] cárcel para los autores de la represión en el sexenio 2004-2010, que encabezó ulises ruiz ortiz",4. Justicia,1. Acciones u omisiones de funcionarios públicos – 7. Eficiencia y eficacia de las autoridades de procuración de justicia,Procuración de justicia,0,0
C-017,15/11/2012,A favor,"asignación de recursos para el Plan para la Transformación Educativa de Oaxaca (esquema alternativo a la Alianza de la Calidad de la Educación, ACE /reforma educativa).","[a favor] asignación de recursos para el plan para la transformación educativa de oaxaca (esquema alternativo a la alianza de la calidad de la educación, ace /reforma educativa)",2. Bienes y servicios (especie) / efectivo y presupuesto (dinero),3. Educación,Recursos (educación),0,1
C-017,15/11/2012,En contra,reforma laboral.,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-017,15/11/2012,A favor,"cese de la represión y la criminalización de la protesta por los presos políticos y desaparecidos en Oaxaca, que no cesará hasta que haya justicia","[a favor] cese de la represión y la criminalización de la protesta por los presos políticos y desaparecidos en oaxaca, que no cesará hasta que haya justicia",1. Abusos de autoridades en protestas,3. Represión,Represión de protestas,0,0
C-018,19/11/2012,En contra,construcción de parques eólicos sin consulta a los dueños de las tierras,[en contra] construcción de parques eólicos sin consulta a los dueños de las tierras,"8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-019,20/11/2012,A favor,respetar los logros alcanzados con el sacrificio del pueblo.,[a favor] respetar los logros alcanzados con el sacrificio del pueblo,5. Laborales,10. Violaciones a contratos colectivos de trabajo,Contratos colectivos,0,0
C-019,20/11/2012,A favor,restitución de sus fuentes de trabajo,[a favor] restitución de sus fuentes de trabajo,5. Laborales,4. Despidos,Despidos,0,0
C-019,20/11/2012,A favor,reapertura de Mexicana de Aviación; facilitar que la aerolínea retome operaciones y garantice el retorno de rutas y slots,[a favor] reapertura de mexicana de aviación; facilitar que la aerolínea retome operaciones y garantice el retorno de rutas y slots,5. Laborales,3. Demandas de empleo y de nuevas fuentes de empleo,Fuentes de empleo,0,0
C-019,20/11/2012,En contra,cambios a la Ley Federal del Trabajo,[en contra] cambios a la ley federal del trabajo,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-020,20/11/2012,En contra,reforma laboral.,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-021,20/11/2012,A favor,devolución de la fuente de trabajo de 16 599 electricistas que no fueron liquidados tras la desaparición de Luz y Fuerza,[a favor] devolución de la fuente de trabajo de 16 599 electricistas que no fueron liquidados tras la desaparición de luz y fuerza,5. Laborales,4. Despidos,Despidos,0,0
C-021,20/11/2012,En contra,Reforma laboral,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-022,23/11/2012,En contra,nulo avance para dar con el paradero de sus parientes,[en contra] nulo avance para dar con el paradero de sus parientes,4. Justicia,1. Acciones u omisiones de funcionarios públicos - 5. Desapariciones forzadas,Desapariciones forzadas,0,0
C-023,27/11/2012,En contra,"secuestro y asesinato del maestro Odilón Martínez Arroyo, director de la secundaria técnica industrial Raúl Isidro Burgos","[en contra] secuestro y asesinato del maestro odilón martínez arroyo, director de la secundaria técnica industrial raúl isidro burgos",4. Justicia,2. Delitos específicos – 3. Homicidios,Homicidios,0,0
C-024,01/12/2012,En contra,El arribo de Peña Nieto a la presidencial de la República.,[en contra] el arribo de peña nieto a la presidencial de la república,10. Transparencia y negociación,"5. Reinstalación, remoción o renuncia de funcionarios electos o designados. Desaparición de poderes en las entidades federativas.",Contra funcionarios electos,0,0
C-024,01/12/2012,En contra,"la imposición, el autoritarismo, la violencia y la exclusión que caracterizan al régimen político mexicano","[en contra] la imposición, el autoritarismo, la violencia y la exclusión que caracterizan al régimen político mexicano",10. Transparencia y negociación,4. Rendición de cuentas exigitiva de derechos,Rendición de cuentas (derechos),0,0
C-025,22/12/2012,En contra,actividad minera,[en contra] actividad minera,"8. Defensa del espacio, los recursos y la cultura","1. Del medio ambiente, recursos naturales, biológicos y biodiversidad",Medio ambiente,0,0
C-025,22/12/2012,A favor,"proteger el espeso bosque de niebla que existe en sus escarpadas montañas, sus tierras y el agua, que vale más que el producto aurífero.","[a favor] proteger el espeso bosque de niebla que existe en sus escarpadas montañas, sus tierras y el agua, que vale más que el producto aurífero","8. Defensa del espacio, los recursos y la cultura","1. Del medio ambiente, recursos naturales, biológicos y biodiversidad",Medio ambiente,0,0
C-026,28/12/2012,A favor,"frenar la aprobación de la nueva Ley de Pensiones Civiles, que implica la reducción de algunos beneficios","[a favor] frenar la aprobación de la nueva ley de pensiones civiles, que implica la reducción de algunos beneficios",5. Laborales,6. Jubilaciones,Jubilaciones,0,0
C-026,28/12/2012,A favor,"jubilación a los 30 años de aportación para los hombres y 28 para las mujeres, en ambos casos sin límite de edad, jubilación para mujeres a los 27 años de aportaciones ininterrumpidas. Además, incremento del monto de la pensión de jubilados al ciento por ciento y crear la pensión por invalidez motivada por causas ajenas al servicio a los 10 años de aportación. ","[a favor] jubilación a los 30 años de aportación para los hombres y 28 para las mujeres, en ambos casos sin límite de edad, jubilación para mujeres a los 27 años de aportaciones ininterrumpidas. además, incremento del monto de la pensión de jubilados al ciento por ciento y crear la pensión por invalidez motivada por causas ajenas al servicio a los 10 años de aportación",5. Laborales,6. Jubilaciones,Jubilaciones,0,0
C-027,29/12/2012,En contra,que el Poder Legislativo apruebe la nueva Ley de Pensiones del Estado,[en contra] que el poder legislativo apruebe la nueva ley de pensiones del estado,7. Reformas a leyes y políticas gubernamentales,3. No constitucionales,Reformas (no const.),0,0
C-028,10/01/2013,En contra,"Implementación del pago por hora en México, la legalización de la tercerización, la flexibilización de los contratos y la depauperización de las condiciones laborales de los trabajadores.","[en contra] implementación del pago por hora en méxico, la legalización de la tercerización, la flexibilización de los contratos y la depauperización de las condiciones laborales de los trabajadores",5. Laborales,2. Condiciones de trabajo,Condiciones de trabajo,0,0
C-028,10/01/2013,En contra,reforma laboral,[en contra] reforma laboral,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-029,21/01/2013,En contra,"desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal","[en contra] desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal",3. Demandas a la administración pública,"2. De regulación del mercado del lado de la oferta (locatarios, taxistas…)",Regulación del mercado,0,0
C-030,21/01/2013,En contra,"desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal ","[en contra] desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal",3. Demandas a la administración pública,"2. De regulación del mercado del lado de la oferta (locatarios, taxistas…)",Regulación del mercado,0,0
C-031,21/01/2013,En contra,"desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal ","[en contra] desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal",3. Demandas a la administración pública,"2. De regulación del mercado del lado de la oferta (locatarios, taxistas…)",Regulación del mercado,0,0
C-032,21/01/2013,En contra,"desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal","[en contra] desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal",3. Demandas a la administración pública,"2. De regulación del mercado del lado de la oferta (locatarios, taxistas…)",Regulación del mercado,0,0
C-033,21/01/2013,En contra,"desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal ","[en contra] desplome de precios de caña de azúcar por importación de azúcar, promovida por el gobierno federal",3. Demandas a la administración pública,"2. De regulación del mercado del lado de la oferta (locatarios, taxistas…)",Regulación del mercado,0,0
C-034,22/01/2013,En contra,aprobación reforma educativa,[en contra] aprobación reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-035,26/01/2013,En contra,enmiendas que le quitan a la organización gremial el control sobre las plazas labores y la permanencia de los maestros que reprueben los exámenes de evaluación que serán obligatorios.,[en contra] enmiendas que le quitan a la organización gremial el control sobre las plazas labores y la permanencia de los maestros que reprueben los exámenes de evaluación que serán obligatorios,5. Laborales,5. Estabilidad en el trabajo: definitividad,Estabilidad laboral,0,0
C-035,26/01/2013,En contra,Reforma educativa aprobada por el Congreso de la Unión.,[en contra] reforma educativa aprobada por el congreso de la unión,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-036,31/01/2013,En contra,Reforma educativa.,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-037,31/01/2013,En contra,Reforma educativa.,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-038,05/02/2013,En contra,Rechazan las liquidaciones que ofrece la Secretaría del Trabajo y Previsión Social,[en contra] rechazan las liquidaciones que ofrece la secretaría del trabajo y previsión social,5. Laborales,4. Despidos,Despidos,0,0
C-038,05/02/2013,En contra,"Fallo de la sala de la Suprema Corte de Justicia de la Nación, el cual les negó la posibilidad de ser contratados por la Comisión Federal de Electricidad (CFE) en calidad de patrón sustituto.","[en contra] fallo de la sala de la suprema corte de justicia de la nación, el cual les negó la posibilidad de ser contratados por la comisión federal de electricidad (cfe) en calidad de patrón sustituto",4. Justicia,1. Acciones u omisiones de funcionarios públicos - 6. Eficiencia y eficacia de las autoridades de impartición de justicia,Impartición de justicia,0,0
C-038,05/02/2013,A favor,Reactivar la mesa de negociaciones para alcanzar una solución al conflicto,[a favor] reactivar la mesa de negociaciones para alcanzar una solución al conflicto,10. Transparencia y negociación,1. Apertura de mesas de negociación,Mesa de negociación,0,0
C-038,05/02/2013,A favor,Evitar la disolución forzosa de su sindicato,[a favor] evitar la disolución forzosa de su sindicato,5. Laborales,8. Protestas por conflictos intra e intersindicales,Sindicales,0,0
C-039,07/02/2013,A favor,"frenar los megaproyectos de la presa La Parota y el parque eólico de San Dionisio del Mar, en Oaxaca.","[a favor] frenar los megaproyectos de la presa la parota y el parque eólico de san dionisio del mar, en oaxaca","8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-039,07/02/2013,A favor,Solución al conflicto del SME.,[a favor] solución al conflicto del sme,5. Laborales,4. Despidos,Despidos,0,0
C-039,07/02/2013,A favor," liberación de los presos, por participar en acciones de resistencia civil contra las tarifas de consumo eléctrico","[a favor] liberación de los presos, por participar en acciones de resistencia civil contra las tarifas de consumo eléctrico",4. Justicia,1. Acciones u omisiones de funcionarios públicos – 9. Liberación de personas detenidas ilegalmente por su actividad política,Presos políticos,0,0
C-039,07/02/2013,A favor,Tarifas justas.,[a favor] tarifas justas,2. Bienes y servicios (especie) / efectivo y presupuesto (dinero),2. Consumidores,Recursos (consumidores),0,0
C-039,07/02/2013,A favor,Cese de la represión.,[a favor] cese de la represión,1. Abusos de autoridades en protestas,3. Represión,Represión de protestas,0,0
C-040,07/02/2013,A favor,"Cancelar los megaproyectos eólicos, mineros e hidroeléctricos impuestos a los pueblos.","[a favor] cancelar los megaproyectos eólicos, mineros e hidroeléctricos impuestos a los pueblos","8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-040,07/02/2013,A favor,"Otra política energética que incluya tarifas justas en función del nivel socioeconómico, acceso a energía eléctrica como derecho humano y proyectos autosustentables construidos desde las comunidades.","[a favor] otra política energética que incluya tarifas justas en función del nivel socioeconómico, acceso a energía eléctrica como derecho humano y proyectos autosustentables construidos desde las comunidades",7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,0
C-040,07/02/2013,A favor,Respeto y reconocimiento a los Acuerdos de San Andrés.,[a favor] respeto y reconocimiento a los acuerdos de san andrés,10. Transparencia y negociación,4. Rendición de cuentas exigitiva de derechos,Rendición de cuentas (derechos),0,0
C-040,07/02/2013,A favor,alto a la represión y criminalización de la protesta social,[a favor] alto a la represión y criminalización de la protesta social,1. Abusos de autoridades en protestas,3. Represión,Represión de protestas,0,0
C-041,08/02/2013,En contra,aumento de tarifas del transporte urbano,[en contra] aumento de tarifas del transporte urbano,2. Bienes y servicios (especie) / efectivo y presupuesto (dinero),7. Urbanas,Recursos (urbanos),0,0
C-042,15/02/2013,En contra,reforma educativa,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-043,18/02/2013,A favor,Cese al hostigamiento del sindicato nacional de mineros y su dirigente.,[a favor] cese al hostigamiento del sindicato nacional de mineros y su dirigente,1. Abusos de autoridades en protestas,3. Represión,Represión de protestas,0,0
C-043,18/02/2013,A favor,Justicia para los deudos de Pasta de Conchos,[a favor] justicia para los deudos de pasta de conchos,4. Justicia,1. Acciones u omisiones de funcionarios públicos – 7. Eficiencia y eficacia de las autoridades de procuración de justicia,Procuración de justicia,0,0
C-043,18/02/2013,A favor,Solución definitiva al conflicto del Sindicato Mexicano de Electricistas.,[a favor] solución definitiva al conflicto del sindicato mexicano de electricistas,5. Laborales,8. Protestas por conflictos intra e intersindicales,Sindicales,0,0
C-043,18/02/2013,A favor,Rescate de los cuerpos de los mineros muertos en Pasta de Conchos.,[a favor] rescate de los cuerpos de los mineros muertos en pasta de conchos,3. Demandas a la administración pública,1. Demandas de que la autoridad haga su trabajo,Trabajo de autoridades,0,0
C-044,25/02/2013,En contra,reforma educativa promulgada este lunes por el presidente Enrique Peña Nieto,[en contra] reforma educativa promulgada este lunes por el presidente enrique peña nieto,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-045,25/02/2013,En contra,"cancelar su contratación automática como profesores, una vez terminados sus estudios, y se oponen a la evaluación de los estudiantes de educación básica con pruebas estandarizadas, que están alejadas de las condiciones sociales y económicas de Oaxaca.","[en contra] cancelar su contratación automática como profesores, una vez terminados sus estudios, y se oponen a la evaluación de los estudiantes de educación básica con pruebas estandarizadas, que están alejadas de las condiciones sociales y económicas de oaxaca",5. Laborales,3. Demandas de empleo y de nuevas fuentes de empleo,Fuentes de empleo,0,0
C-045,25/02/2013,En contra,reforma educativa promulgada este lunes por el presidente Enrique Peña Nieto,[en contra] reforma educativa promulgada este lunes por el presidente enrique peña nieto,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-046,25/02/2013,En contra,reforma educativa promulgada este lunes por el presidente Enrique Peña Nieto,[en contra] reforma educativa promulgada este lunes por el presidente enrique peña nieto,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-047,26/02/2013,En contra,reforma educativa,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-048,26/02/2013,En contra,reforma educativa,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-049,26/02/2013,En contra,reforma educativa,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-050,26/02/2013,En contra,reforma educativa,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-051,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-052,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-053,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-054,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-055,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-056,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-057,26/02/2013,En contra,laboral en materia educativa (reforma educativa),[en contra] laboral en materia educativa (reforma educativa),7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-058,26/02/2013,En contra,reforma educativa,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-059,05/03/2013,A favor,Reforma educativa.,[en contra] reforma educativa,7. Reformas a leyes y políticas gubernamentales,2. Constitucionales,Reformas (constitucionales),0,1
C-060,15/03/2013,En contra,"pretenda, desde el gobierno federal, imponer a Juan Díaz de la Torre, uno de los principalescolaboradores de Elba Esther","[en contra] pretenda, desde el gobierno federal, imponer a juan díaz de la torre, uno de los principales colaboradores de elba esther",10. Transparencia y negociación,"5. Reinstalación, remoción o renuncia de funcionarios electos o designados. Desaparición de poderes en las entidades federativas.",Contra funcionarios electos,0,0
